Rank,Username,Categories,Subscribers,ISO-2,ISO-3,Average Visits,Average Likes,Average Comments
225,topperguild,Entertainment,24900000.00,US,USA,"1,800,000","77,600",838
226,akshaynagwadiya,Entertainment,24900000.00,IN,IND,"3,100,000","143,500",288
227,Yuya,Lifestyle_(sociology),24800000.00,MX,MEX,0,0,0
228,likenastyaae,Lifestyle_(sociology),24800000.00,US,USA,"587,400","3,200",0
229,unknownboyvarun,Film,24700000.00,IN,IND,"1,300,000","119,600",154
230,TsurikiShow,Entertainment,24700000.00,DE,DEU,"604,600","9,500",8
231,1theK,Music,24700000.00,KR,KOR,"10,100",595,29
232,DianaRomaARA,Entertainment,24600000.00,US,USA,"1,200,000","5,100",0
233,shfashowindia,Lifestyle_(sociology),24600000.00,AE,ARE,"1,300,000","8,800",0
234,kidschannelindia,Music,24400000.00,IN,IND,"80,300",385,0
235,goldmineshindi,Entertainment,24400000.00,IN,IND,"12,500",139,3
236,Venus_Movies,Entertainment,24400000.00,IN,IND,"39,100",425,10
237,netdmuzik,Pop_music,24400000.00,TR,TUR,"6,100",158,34
238,TheElenaYa,Music,24400000.00,US,USA,"611,400","1,100",0
239,rug,Lifestyle_(sociology),24300000.00,US,USA,"3,200,000","85,300","5,100"
240,kimpro828,Entertainment,24300000.00,KR,KOR,"2,300,000","55,300",403
241,suntv,Entertainment,24300000.00,IN,IND,"15,300",457,2
242,DJSnake,Music,24300000.00,US,USA,"16,700",846,19
243,alanbecker,Role-playing_video_game,24300000.00,US,USA,"7,600,000","582,600","5,900"
244,MayaAndMary,Lifestyle_(sociology),24100000.00,US,USA,"134,600",0,0
245,sagawa,Entertainment,24100000.00,JP,JPN,"408,800","13,300",55
246,juandediospantojaa,Entertainment,24000000.00,MX,MEX,"3,000,000","133,200","3,600"
247,EnriqueIglesias,Music,23900000.00,ES,ESP,"21,800","2,000",142
248,JamesCharles,Lifestyle_(sociology),23900000.00,US,USA,"964,500","62,300","1,100"
249,MrMaxLife,Hobby,23900000.00,GB,GBR,"824,200","19,300","3,000"
250,TroomTroom,Lifestyle_(sociology),23900000.00,US,USA,"62,900","1,200",15
251,PeppaPigEspanolLatinoOficial,Entertainment,23800000.00,GB,GBR,"604,400","1,700",0
252,misskaty1133,Hobby,23700000.00,GB,GBR,"1,300,000","15,200","1,000"
253,Ninja,Action_game,23700000.00,US,USA,"204,600","8,700",141
254,NickyJamTV,Music_of_Latin_America,23700000.00,PR,PRI,"15,800","1,200",58
255,Azhan5star,Film,23600000.00,IN,IND,"4,000,000","181,100",407
256,ishaanali11,Entertainment,23500000.00,IN,IND,"3,400,000","242,900",467
257,ValentinaPontesofc,Hobby,23500000.00,BR,BRA,"730,200","2,700",0
258,Jelly,Action_game,23500000.00,GB,GBR,"156,400","5,800",266
259,toyorbabytv,Music,23500000.00,JO,JOR,"111,400",0,0
260,SesameStreet,Film,23400000.00,US,USA,"364,800",971,0
261,TED,Knowledge,23400000.00,US,USA,"43,900",954,64
262,GMMGrammy,Pop_music,23400000.00,TH,THA,"2,900",96,3
263,WaveMusicBhojpuri,Music_of_Asia,23400000.00,IN,IND,"8,400",154,7
264,TuzelityOfficial,Lifestyle_(sociology),23300000.00,RU,RUS,"3,200,000","96,600",673
265,whitehillmusic,Music_of_Asia,23300000.00,IN,IND,"15,300",659,5
266,VaniaManiaKids,Lifestyle_(sociology),23300000.00,US,USA,"325,000",599,0
267,TechnicalGuruji,Lifestyle_(sociology),23300000.00,IN,IND,"169,500","7,600",455
268,CuteAnimalsTV.,Pet,23200000.00,US,USA,"3,400",9,0
269,BabyBusES,Entertainment,23200000.00,MX,MEX,"80,000",332,0
270,DrossRotzank,Society,23100000.00,AR,ARG,"1,700,000","105,900","3,900"
271,capitanyolotroll,Entertainment,23100000.00,MX,MEX,"3,200,000","189,300",827
272,LikeNastya_PRT,Lifestyle_(sociology),23000000.00,US,USA,"441,000","2,500",0
273,ZachChoi,Food,23000000.00,US,USA,"142,200","3,000",162
274,GoldminesCineplex,Film,23000000.00,IN,IND,"11,800",129,2
275,DangalTVChannel,Television_program,23000000.00,IN,IND,"91,900","2,100",16
276,AmiRodrigueZZ,Entertainment,22900000.00,CO,COL,"4,300,000","294,400","1,300"
277,Yoeslan,Entertainment,22900000.00,US,USA,"2,400,000","49,700",81
278,sia,Pop_music,22900000.00,AU,AUS,0,0,0
279,vladandnikiarab2,Lifestyle_(sociology),22800000.00,US,USA,"982,900","4,800",0
280,invictorgs3,Action-adventure_game,22800000.00,ES,ESP,"806,400","25,500",418
281,Kidibli,Entertainment,22800000.00,US,USA,"138,500","2,400",0
282,StokesTwins,Entertainment,22700000.00,US,USA,"11,700,000","235,000","10,000"
283,vladandnikispain,Hobby,22700000.00,US,USA,"1,000,000","3,000",0
284,mmoshaya,Lifestyle_(sociology),22700000.00,SA,SAU,"1,100,000","14,100",835
285,SSundee,Action_game,22700000.00,US,USA,"1,700,000","59,800","1,800"
286,souravjoshivlogs7028,Lifestyle_(sociology),22700000.00,IN,IND,"5,600,000","382,300","8,900"
287,THECHAINSMOKERS,Electronic_music,22700000.00,US,USA,"38,900","1,800",76
288,ZachKing,Lifestyle_(sociology),22600000.00,US,USA,"4,900,000","238,500",522
289,BenAzelart,Entertainment,22500000.00,US,USA,"3,700,000","44,900","2,700"
290,DUDUeCAROL,Lifestyle_(sociology),22500000.00,BR,BRA,"964,300","29,200",89
291,fgteev,Video_game_culture,22500000.00,US,USA,"826,800","10,300","2,100"
292,VillageCookingChannel,Lifestyle_(sociology),22500000.00,IN,IND,"21,500,000","321,500","5,900"
293,dednahype,Lifestyle_(sociology),22400000.00,LV,LVA,"598,300","10,400",25
294,disneyla,Film,22400000.00,AR,ARG,"89,100",105,0
295,smilefamily363,Music,22400000.00,US,USA,"7,600",45,0
296,NetflixIndiaOfficial,Film,22300000.00,IN,IND,"61,400","1,400",111
297,BeatboxJCOP,Entertainment,22300000.00,KR,KOR,"1,600,000",0,727
298,LIVCrime,Film,22300000.00,US,USA,"19,400",249,16
299,rotanamusic,Music,22300000.00,SA,SAU,"2,100,000","12,600",321
300,RAFAELUIZOFICIAL,Lifestyle_(sociology),22100000.00,BR,BRA,"671,700","30,500",522
301,NatGeo,Film,22100000.00,US,USA,"42,200",871,38
302,williesalim,Lifestyle_(sociology),21900000.00,ID,IDN,"396,200",0,"2,800"
303,SMOL_official,Humour,21900000.00,US,USA,"114,500","2,600",5
304,alfredolarin,Entertainment,21900000.00,SV,SLV,"12,900,000","707,600","2,100"
305,TlnovelasOficial,Entertainment,21900000.00,MX,MEX,"5,500",152,5
306,royaltyfam,Lifestyle_(sociology),21900000.00,US,USA,"4,700,000","67,000","6,600"
307,EvaBravoPlay,Hobby,21800000.00,US,USA,"332,800","1,300",0
308,infinite,Lifestyle_(sociology),21700000.00,US,USA,"884,800","45,700","1,400"
309,MartaAndRustam,Entertainment,21700000.00,US,USA,"4,100,000","65,900",52
310,khangsresearchcentre1685,Society,21700000.00,IN,IND,"7,300,000","501,700","17,000"
311,gmapublicaffairs,Entertainment,21700000.00,PH,PHL,"4,300",68,2
312,vladandnikidn,Lifestyle_(sociology),21700000.00,US,USA,"529,400","1,300",0
313,beckyg,Lifestyle_(sociology),21500000.00,US,USA,0,0,0
314,Priyal_Kukreja,Lifestyle_(sociology),21500000.00,IN,IND,"7,700,000","224,600",510
315,BaimPaula,Entertainment,21300000.00,ID,IDN,"352,500","12,600",773
316,BraveWilderness,Lifestyle_(sociology),21100000.00,US,USA,"635,400","14,400",862
317,buzzfeedtasty,Food,21100000.00,US,USA,"84,300","3,200",34
318,fatosdesconhecidos,Lifestyle_(sociology),21100000.00,BR,BRA,"92,900","10,200",407
319,lyricalemonade,Hip_hop_music,21100000.00,US,USA,"2,800,000","127,300","5,800"
320,MrVivekBindra,Entertainment,21100000.00,IN,IND,"56,900","3,100",17
321,VijayTelevision,Television_program,21100000.00,IN,IND,"99,500","1,500",18
322,kurzgesagt,Society,21100000.00,DE,DEU,"4,900,000","253,500","14,000"
323,romeo,Music,21100000.00,US,USA,"3,200,000","53,900","1,600"
324,corbuzier,Entertainment,21000000.00,ID,IDN,"2,100,000","44,400","4,700"
325,NBA,Sport,20900000.00,US,USA,"46,400","1,000",55
326,JasonDerulo,Entertainment,20800000.00,US,USA,"80,500","3,100",35
327,KiddiestvHindi,Film,20800000.00,IN,IND,"17,700",66,0
328,avicii,Music,20700000.00,SE,SWE,0,0,0
329,5MinuteCraftsDIY,Lifestyle_(sociology),20700000.00,US,USA,"14,600",110,4
330,NinjaKidz,Entertainment,20700000.00,US,USA,"289,800","6,600",217
331,7clouds,Hip_hop_music,20700000.00,US,USA,"92,100","1,200",74
332,LinkinPark,Rock_music,20700000.00,US,USA,"73,700","7,100",134
333,Mnet,Television_program,20700000.00,KR,KOR,"34,400","3,500",168
334,BabyBusID,Film,20600000.00,ID,IDN,"285,400",744,0
335,Genevieve's Playhouse,Hobby,20600000.00,IN,IND,"513,400","3,100",0
336,JoseComilaoTotoy,Film,20600000.00,BR,BRA,"199,000","5,000",0
337,jakepaul,Lifestyle_(sociology),20500000.00,US,USA,"172,400","7,500",127
338,somoynews360,Society,20500000.00,US,USA,"7,400",196,4
339,SlivkiShow,Hobby,20500000.00,UA,UKR,"2,500,000","154,200","6,800"
340,Miawaug,Video_game_culture,20500000.00,ID,IDN,"748,400","29,300","2,000"
341,EmiwayBantai,Hip_hop_music,20500000.00,IN,IND,"892,800","95,600","5,500"
342,PragatiVermaaShorts,Entertainment,20500000.00,IN,IND,"2,800,000","134,300","1,400"
343,Cookieswirlc,Action-adventure_game,20500000.00,US,USA,"147,000","2,000",482
344,gottalentglobal,Television_program,20400000.00,US,USA,"222,500","1,200",71
345,triggeredinsaan,Entertainment,20400000.00,IN,IND,"11,100,000","1,400,000","38,000"
